id,lat,long
kc-110464,8.127026,122.130666
kc-293603,7.12993,125.61718
kc-288351,18.120128,121.662395
kc-279426,11.3211895,119.427758
kc-254788,7.8221233,126.0500233
kc-134223,13.7574309,122.9240443
kc-123131,13.7594,124.153
kc-94881,9.7997051,118.7564541
kc-272853,5.8758,125.0834
kc-148508,4.727768,127.085387
kc-147608,4.751026,127.1131
kc-308390,14.5874224,121.1799647
kc-337614,18.9038393,121.8694382
kc-344712,11.0548927,122.4753686
kc-342463,9.156406,124.7867441
kc-344847,12.5344785,124.8752415
kc-347708,6.2684913,125.5862947
kc-347189,17.5939173,121.5126429
kc-365179,7.1010114,125.5813367
kc-343120,13.593267,123.248728
kc-343150,16.194827,120.7779459
kc-343125,13.710652,123.744829
kc-345343,6.4963667,124.8385675
kc-347531,9.9932029,124.4483683
kc-347564,9.2045304,123.484042
kc-343507,7.580786,126.1338528
kc-383667,18.2421,122.0456
kc-381546,14.4999845,121.4625864
kc-380960,7.74652,125.723692
kc-385131,11.5120979,125.3740526
kc-379239,12.3132886,122.0845377
kc-379258,12.3295087,121.9734766
kc-385708,11.28553,125.06661
kc-385803,11.2864873,125.1277341
kc-385750,11.2532709,124.7576785
kc-385889,11.329646,125.5958746
kc-385629,11.8496591,125.4199073
kc-381240,9.449515,125.57839
kc-381249,8.988286,125.341205
kc-379912,12.0194873,125.0773548
kc-383068,7.4267442,122.8082935
kc-379440,12.0557941,123.7294198
kc-381051,7.1143482,126.1750132
kc-380640,8.023471,123.9796002
kc-380020,8.00131784,124.285
kc-387592,5.5821,125.413
kc-383077,7.868553,122.5537663
kc-382417,6.5054071,122.0288118
kc-380774,8.5400133,123.5667
kc-380429,8.3269613,123.075743
kc-383307,16.8292495,121.1907812
kc-380375,10.4889746,125.1857869
kc-379494,11.383167,122.2797897
kc-379350,13.3965477,123.5532073
kc-382408,6.4571272,122.0198445
kc-380438,7.7460589,123.1681263
kc-380492,7.9068194,125.0879866
kc-382876,4.662573,119.394
kc-380249,6.7840888,124.4406507
kc-379867,12.5350384,124.8771318
kc-382498,6.927135,123.9719633
kc-380303,6.9219179,124.2994196
kc-382390,6.6187391,121.5524141
kc-380604,8.0682798,124.2740404
kc-402171,11.86718188,124.8986297
kc-402896,6.1541,124.7815
kc-412669,12.2873,125.4124
kc-413109,12.1055187,125.3246769
kc-417169,12.351326,124.7099006
kc-417830,9.9769939,125.2738186
kc-416168,10.6122717,124.9664732
kc-418385,12.416216,124.5306837
kc-419871,14.5547238,121.5179034
kc-421933,12.189666,125.400927
kc-421987,12.16857,125.257876
kc-423033,11.19012,125.35921
kc-423502,12.4093975,124.5179855
kc-425152,11.3081404,125.0152624
kc-425570,11.2851758,125.0687405
kc-425683,11.2770187,125.0120171
kc-425758,11.1334,124.4268
kc-344707,10.7125825,122.5594662
